id,danceability,energy,valence,mood
spotify:track:0K8vEkosolZeljcKji1Mdv,0.764,0.5,0.607,Happy
spotify:track:2m3PVx1gsVB5upxi94IW8I,0.762,0.822,0.565,Happy
spotify:track:2K373m3ampRHhiR1x5NfBk,0.792,0.817,0.78,Happy
spotify:track:41dtNH6BYBeE7j1FWE52uo,0.466,0.303,0.128,Sad
spotify:track:4wwqUoX7OweabhkpP2kaTS,0.479,0.548,0.12,Sad
spotify:track:7a2tITrS5LZtlefeZscRFf,0.33,0.913,0.294,Happy
spotify:track:2r1ObHripAsIgOZ0rRwJBy,0.654,0.85,0.772,Happy
spotify:track:6eShnwfNRZ0RbizgjMPaMR,0.434,0.744,0.665,Happy
spotify:track:6opJ2k2wpZBIh0zskD0Vly,0.56,0.621,0.688,Happy
spotify:track:3cU0nO8u9S6INZPnwQAsy7,0.648,0.772,0.782,Happy
spotify:track:1cM6fsR7qJbls7CkU2Hway,0.458,0.891,0.683,Happy
spotify:track:6Dwahul5BIUfUiKYir2FXz,0.621,0.903,0.911,Happy
spotify:track:20dDpjJ59PUAIdbXMkIrmd,0.569,0.749,0.329,Happy
spotify:track:0cpsktCQ7yTvzk4oIDP8ar,0.462,0.729,0.543,Happy
spotify:track:50KDdx4HMcNxGXLAbxiHUf,0.498,0.737,0.602,Happy
spotify:track:18FeNJMj9noDECJ0w5i5PT,0.512,0.862,0.963,Happy
spotify:track:6RIbiMwg1QbFTq4dcJGQqq,0.391,0.794,0.581,Happy
spotify:track:3SMnPcPNWMzTlsjABF5WRf,0.602,0.874,0.65,Happy
spotify:track:0BnQh1Yot1W9qwgNQHYv9r,0.678,0.833,0.879,Happy
spotify:track:5ypuWzb4RBFv0TWfhfClFu,0.735,0.698,0.961,Happy
spotify:track:4NjcBu9yymywoxK1l9tdBE,0.612,0.844,0.537,Happy
spotify:track:5oTx5KTlzpkt71x5TJdWaW,0.665,0.295,0.563,Sad
spotify:track:7zoMMlOFm4udEKsei6c34D,0.891,0.857,0.605,Happy
spotify:track:37dd1FfHu4tt2Rvj3cpBVg,0.537,0.689,0.682,Happy
spotify:track:74rl89i6GlqWwOFVlBtEh9,0.697,0.647,0.288,Happy
spotify:track:5NHsnQXXOxC0Orkp58XLpg,0.639,0.59,0.393,Sad
spotify:track:5bqT6ZvIzXlHGoyhoNm9FR,0.694,0.839,0.467,Happy
spotify:track:7FFWm62qQAEWwpOkfZdweZ,0.366,0.779,0.559,Happy
spotify:track:2iP4gsbex3yX32fC0kcwMV,0.507,0.991,0.713,Happy
spotify:track:30s8wOLOCHpUYlN7k5dD0c,0.412,0.948,0.548,Happy
spotify:track:5G1sTBGbZT5o4PNRc75RKI,0.356,0.872,0.607,Happy
spotify:track:7EZC6E7UjZe63f1jRmkWxt,0.309,0.649,0.312,Happy
spotify:track:4xBHZ2Mr0gCdFYXrPZuYXO,0.458,0.783,0.224,Happy
spotify:track:6uWp8yAt8dN5ZaT7REJ6RV,0.254,0.995,0.843,Happy
spotify:track:2x8evxqUlF0eRabbW2JBJd,0.654,0.828,0.79,Happy
spotify:track:3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,0.538,Happy
spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,0.497,0.97,0.689,Happy
spotify:track:5ZdrNnYV5VZWds4WXKf8kf,0.522,0.964,0.51,Happy
spotify:track:4wsQGsdf8D0Bj26cGdvreB,0.37,0.937,0.874,Happy
spotify:track:0M955bMOoilikPXwKLYpoi,0.498,0.83,0.453,Happy
spotify:track:0snQkGI5qnAmohLE7jTsTn,0.413,0.873,0.48,Happy
spotify:track:4qOlRkIO7W86iDwY8i9EAE,0.511,0.815,0.586,Happy
spotify:track:3DQVgcqaP3iSMbaKsd57l5,0.535,0.948,0.778,Happy
spotify:track:6nTiIhLmQ3FWhvrGafw2zj,0.38,0.988,0.769,Happy
spotify:track:0EdMqiKs9LKXhspeQhl4RZ,0.544,0.892,0.317,Happy
spotify:track:1LkoYGxmYpO6QSEvY5C0Zl,0.317,0.887,0.544,Happy
spotify:track:3dxiWIBVJRlqh9xk144rf4,0.579,0.849,0.581,Happy
spotify:track:6uGQKWdjmKvgH1QdDCcM8N,0.767,0.599,0.788,Happy
spotify:track:6L89mwZXSOwYl76YXfX13s,0.442,0.943,0.781,Happy
spotify:track:5bTuwAgYUD5MABOIPH8ZMt,0.387,0.913,0.674,Happy
spotify:track:5cZqsjVs6MevCnAkasbEOX,0.432,0.884,0.624,Happy
spotify:track:1FTSo4v6BOZH9QxKc3MbVM,0.674,0.789,0.918,Happy
spotify:track:4wfyFIRnxdIN0v4OGtXcX3,0.623,0.93,0.287,Happy
spotify:track:0EmTAH4LAANZJPbcTCE7bf,0.346,0.913,0.829,Happy
spotify:track:6TfBA04WJ3X1d1wXhaCFVT,0.55,0.917,0.601,Happy
spotify:track:1fJFuvU2ldmeAm5nFIHcPP,0.579,0.928,0.882,Happy
spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,0.464,0.795,0.612,Happy
spotify:track:7j31rVgGX9Q2blT92VBEA0,0.463,0.857,0.856,Happy
spotify:track:435j8ueVosOip0Vjm3vvj5,0.338,0.992,0.681,Happy
spotify:track:5gRcv46AMTrosmTOqrOV3Q,0.697,0.395,0.876,Happy
spotify:track:2zzLRQ78kKfPTx8FJQCdC2,0.348,0.875,0.407,Happy
spotify:track:400lQTCx3wYGgqAIHSZbNA,0.655,0.885,0.938,Happy
spotify:track:02ZdZqhpfrPnxwyakXgxB8,0.507,0.882,0.907,Happy
spotify:track:3oqYMRKQcwyNmFn1VD2ukD,0.419,0.971,0.677,Happy
spotify:track:21Qsj3cMVCx2xF2EVVNbEu,0.356,0.982,0.299,Happy
spotify:track:4EchqUKQ3qAQuRNKmeIpnf,0.523,0.943,0.766,Happy
spotify:track:2RZWdE8kYPlCAcRUYDeuLC,0.564,0.865,0.726,Happy
spotify:track:1Vej0qeQ3ioKwpI6FUbRv1,0.524,0.939,0.661,Happy
spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz,0.531,0.909,0.814,Happy
spotify:track:6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,0.903,Happy
spotify:track:3bnVBN67NBEzedqQuWrpP4,0.655,0.632,0.447,Sad
spotify:track:5rLi8B8qgk6qThwRnKHW2P,0.436,0.893,0.0794,Happy
spotify:track:1vcxF91pWs9uNwDROuiCPB,0.554,0.932,0.478,Happy
spotify:track:1nLnpLXvl68RZCSjfkyiaa,0.559,0.543,0.337,Sad
spotify:track:1oTo3ijRbaDAtrjJrGAPSw,0.664,0.781,0.593,Happy
spotify:track:4Yf5bqU3NK4kNOypcrLYwU,0.554,0.978,0.594,Happy
spotify:track:3lPr8ghNDBLc2uZovNyLs9,0.668,0.921,0.782,Happy
spotify:track:2V4Bc2I962j7acQj1N0PiQ,0.438,0.905,0.723,Happy
spotify:track:0VbcUcS5tz1nmgvb6XpxsL,0.676,0.787,0.971,Happy
spotify:track:6j5hsUNHDESHlRB4HnD4G9,0.71,0.429,0.437,Sad
spotify:track:1LWLET6RGbJZWAZn8yMtnn,0.641,0.97,0.544,Happy
spotify:track:2y9amiNtcZOgJXko2cH1qb,0.617,0.98,0.676,Happy
spotify:track:65HHUaDJqUU0Wur0IB14qC,0.705,0.448,0.389,Sad
spotify:track:3rGOoMEEIBonQBGOX48yjB,0.802,0.753,0.467,Happy
spotify:track:0K5arhAxYWj7QxFhpKJe6z,0.497,0.661,0.132,Happy
spotify:track:5oTx5KTlzpkt71x5TJdWaW,0.665,0.295,0.563,Sad
spotify:track:4GBfKfnvmcTcNrlJcV4OLV,0.432,0.793,0.723,Happy
spotify:track:3SMnPcPNWMzTlsjABF5WRf,0.602,0.874,0.65,Happy
spotify:track:2H7rMnWOMP6lSROrmwAmSm,0.699,0.982,0.778,Happy
spotify:track:7HLeyx8jAgktClDe4BUbAA,0.749,0.879,0.677,Happy
spotify:track:7q3ITM7IODTTqkW6ByBRgb,0.626,0.791,0.575,Happy
spotify:track:0b7EnemVVQKbOp7eVZocv0,0.431,0.96,0.385,Happy
spotify:track:7ojBwkKhmZzXDjrqwfLH26,0.655,0.308,0.397,Sad
spotify:track:0faG7Q7aBpArmgnjqv5CpU,0.68,0.772,0.447,Happy
spotify:track:4TPVl8Xasad677Pk7rKwhZ,0.4,0.878,0.505,Happy
spotify:track:3uMUdlo47oEes3kgL4T4EC,0.587,0.7,0.496,Happy
spotify:track:54ZhPL5soHKDxg9a5wizPv,0.758,0.534,0.783,Happy
spotify:track:1vQRta0wrnO3p0LxZP3dtU,0.374,0.946,0.505,Happy
spotify:track:5b1LYDIrIn78xJqard7Zsj,0.691,0.828,0.637,Happy
spotify:track:7uOfo8W8JlxyK2yNdUfi5J,0.531,0.933,0.61,Happy
spotify:track:6awpF8KkBWuZr1ElN2xkaW,0.66,0.763,0.61,Happy
spotify:track:7dOzvgGmCmoqGAHeoiM542,0.566,0.906,0.417,Happy
